Date,V_Evaporation,V_Irrigation,V_Spillage,V_Inflow,Water_Level/depth(m),Rainfall (mm)
01/01/1993,34.3,0,0,0,231.04,0
02/01/1993,29.45,0,0,0,230.82,0
03/01/1993,26.425,0,0,0,230.63,16.25
04/01/1993,40.13,0,0,0,230.41,21.3
05/01/1993,30.68,0,0,0,229.63,17.9
06/01/1993,39.832,0,0,110.698,228.74,113.5
07/01/1993,31.42,0,0,158.795,228.74,142.25
08/01/1993,21.155,0,0,410.415,229.21,258.9
09/01/1993,28.87,0,0,264.26,231.68,164.4
10/01/1993,32.51,0,0.05,17.42,232.86,5
11/01/1993,43.09,0,0,4.14,232.56,0
12/01/1993,36.68,0,0,0,231.96,0
01/01/1994,33.34,0,0,0,231.46,0
02/01/1994,28.52,0,0,0,231.1,0
03/01/1994,34.27,0,0,0,230.74,18.2
04/01/1994,38.74,0,0,8.59,230.2,24.8
05/01/1994,34.28,0,0,38.18,229.4,58.4
06/01/1994,28.734,0,0,53.764,228.73,126.5
07/01/1994,20.08,0,0,300.14,228.33,263.6
08/01/1994,33.06,0,1201.51,2107.72,230.25,411
09/01/1994,35.54,0,1050.28,1155.44,234.51,246.7
10/01/1994,40.03,0,93.33,228.59,234.42,66.1
11/01/1994,46.53,0,0,17.6,234.38,0
12/01/1994,54.81,0,0,0,233.85,0
01/01/1995,41.73,0,0,0,233.13,0
02/01/1995,42.56,0,0,0,232.52,0
03/01/1995,40.22,0,0,0,231.89,22.4
04/01/1995,54.07,0,0,15.69,230.85,49.35
05/01/1995,41.26,0,0,16.25,229.81,41.15
06/01/1995,29.87,0,0,17.72,228.62,75.36
07/01/1995,17.42,0,0,115.72,227.78,120.4
08/01/1995,22.19,0,0,592.96,228.29,310.96
09/01/1995,31.18,0,0,117.71,232.05,113.85
10/01/1995,40.2,0,0,25.25,232.26,43.1
11/01/1995,30.88,0,0,1.72,231.88,36.8
12/01/1995,31.82,0,0,0,231.56,0
01/01/1996,31.28,0,0,0,231.17,0
02/01/1996,39.12,0,0,0,230.6,0
03/01/1996,28.65,0,0,2.91,229.99,54
04/01/1996,25.93,0.028,0,0,229.43,11.6
05/01/1996,22.658,0.006,0,18.881,228.81,64.3
06/01/1996,23.849,0.002,0,129.04,228.33,136.8
07/01/1996,22.297,0.008,0,70.535,228.6,112.2
08/01/1996,18.839,0.003,0,336.76,228.36,315.8
09/01/1996,25.461,0,0,354.935,230.57,149.6
10/01/1996,37.844,0.049,0,60.731,232.43,27.4
11/01/1996,37.69,0.07,0,1.366,232.27,0
12/01/1996,27.278,0.054,0,0,231.83,0
01/01/1997,36.258,0.086,0,0,231.37,0
02/01/1997,41.892,0.112,0,0,230.76,0
03/01/1997,29.635,0.149,0,3.72,230.03,1.5
04/01/1997,30.793,0.175,0,7.123,229.33,0
05/01/1997,31.085,0.177,0,32.28,228.53,83.6
06/01/1997,22.054,0.075,0,61.17,227.94,91.7
07/01/1997,19.844,0.036,0,58.15,227.81,89.7
08/01/1997,16.805,0.1,0,173.72,227.62,121.1
09/01/1997,19.2,0.335,0,168.396,228.92,98.1
10/01/1997,26.088,0.462,0,44.776,229.85,95.9
11/01/1997,27.69,0.499,0,1.117,229.57,0
12/01/1997,22.26,0.16,0,0,228.93,0
01/01/1998,20.658,0.316,0,0,228.39,0
02/01/1998,14.886,0.65,0,0,227.98,14.3
03/01/1998,23.358,1.009,0,0,227.52,0
04/01/1998,17.517,1.03,0,16.509,226.96,83.7
05/01/1998,22.316,0.957,0,77.43,226.88,44.6
06/01/1998,18.852,0.048,0,282.97,227.07,103.3
07/01/1998,22.078,0.059,0,293.35,228.98,112.4
08/01/1998,26.02,0.083,0,520.47,230.36,215
09/01/1998,35.015,0.278,0,588.557,232.56,270
10/01/1998,46.089,1.174,0,83.27,234.74,17.2
11/01/1998,57.623,1.234,0,0,234.55,0
12/01/1998,29.347,0.45,0,0,233.96,0
01/01/1999,51.594,1.034,0,0,233.32,0
02/01/1999,41.31,1.05,0,0,232.45,0
03/01/1999,54.478,1.72,0,0,231.55,0
04/01/1999,48.84,1.813,0,9.24,230.6,41.05
05/01/1999,35.959,1.17,0,24.73,229.11,153.7
06/01/1999,28.226,0.427,0,60.55,227.81,82.7
07/01/1999,18.431,0.605,0,378.705,227.01,201.6
08/01/1999,27.652,0.229,12.64,943.25,229.75,384.2
09/01/1999,38.574,0.171,493.62,845.5,234.35,285.6
10/01/1999,66.321,2.054,52.1,146.5,235.1,50.5
11/01/1999,46.076,2.069,0,0,234.68,0
12/01/1999,47.288,1.23,0,0,234.05,0
01/01/2000,42.772,1.8,0,0,233.37,0
02/01/2000,50.634,1.79,0,0,232.66,0
03/01/2000,37.143,2.417,0,0,231.94,0
04/01/2000,59.402,2.22,0,0,231.14,8.5
05/01/2000,42.58,1.52,0,20.98,229.94,89.2
06/01/2000,30.088,1.885,0,139.25,228.84,234.7
07/01/2000,17.971,1.07,0,121.24,228.64,136.6
08/01/2000,19.506,1.183,0,298.54,228.64,314.85
09/01/2000,26.064,1.2,0,67.99,230.44,164.9
10/01/2000,36.563,2.35,0,24.49,230.35,46.5
11/01/2000,23.625,1.939,0,0,229.93,0
12/01/2000,20.047,1.18,0,0,229.47,0
01/01/2001,22.207,2.082,0,0,229.28,0
02/01/2001,18.777,2.69,0,0,229,0
03/01/2001,25.263,3.48,0,0,228.68,0
04/01/2001,24.054,3.661,0,0,228.13,21.2
05/01/2001,32.238,3.941,0,11.502,227.33,25.3
06/01/2001,17.122,1.277,0,66.16,226.65,125.6
07/01/2001,17.219,1.32,0,218.46,227.07,176.2
08/01/2001,20.514,1.54,0,417.4,228.9,220.7
09/01/2001,32.023,2.25,0,435.05,231.58,182.6
10/01/2001,52.33,4.62,0,26.64,233.41,15.9
11/01/2001,45.897,4.27,0,15.85,233,0
12/01/2001,38.762,2.31,0,0,232.58,0
01/01/2002,37.658,3.417,0,0,232.07,0
02/01/2002,34.102,4.433,0,0,231.43,0
03/01/2002,44.568,7.248,0,0,230.69,0
04/01/2002,28.782,7.431,0,0,229.65,31.1
05/01/2002,37.179,7.64,0,22.703,228.62,39.1
06/01/2002,32.643,5.644,0,44.599,227.73,74.6
07/01/2002,21.211,1.433,0,182.941,227.13,201.5
08/01/2002,21.069,2.477,0,435.769,228.57,158.1
09/01/2002,27.539,4.063,0,358.231,231.25,191
10/01/2002,36.897,6.114,0,267.488,232.74,94.2
11/01/2002,40.696,9.904,0,0,233.57,0
12/01/2002,35.285,9.473,0,0,232.95,0
01/01/2003,33.941,5.878,0,0,232.36,0
02/01/2003,34.796,6.983,0,0,231.73,7.7
03/01/2003,49.582,8.967,0,0,230.9,4.4
04/01/2003,31.216,9.157,0,9.406,229.83,121
05/01/2003,29.161,10.394,0,46.651,228.96,67
06/01/2003,21.448,5.991,0,115.898,228.42,157
07/01/2003,25.608,1.893,0,750.305,228.47,326.6
08/01/2003,32.6,4.027,117.112,603.212,232.68,189
09/01/2003,38.237,3.608,336.234,748.198,234.1,213.2
10/01/2003,48.188,8.094,32.946,130.161,235,26.5
11/01/2003,50.191,9.292,0,0,234.47,0
12/01/2003,20.989,8.774,0,0,233.65,0
01/01/2004,31.33,7.705,0,0,233.18,0
02/01/2004,22.07,7.641,0,0,232.62,0
03/01/2004,33.117,9.711,0,21.452,231.92,14.5
04/01/2004,37.69,9.465,0,58.504,231.14,115
05/01/2004,43.392,9.662,0,42.41,230.5,88.2
06/01/2004,26.205,6.404,0,41.845,229.46,200.8
07/01/2004,20.102,2.102,0,382.75,228.54,258
08/01/2004,24.922,2.894,0,366.588,230.57,307.9
09/01/2004,35.192,4.335,0,367.768,232.21,111.7
10/01/2004,45.09,9.138,0,15.506,233.35,49
11/01/2004,39.38,9.788,0,0,232.67,0
12/01/2004,24.07,8.957,0,0,232.03,0
01/01/2005,32.518,9.135,0,0,231.55,0
02/01/2005,30.179,9.978,0,0,231.02,0
03/01/2005,27.012,10.683,0,0,230.29,5
04/01/2005,31.992,12.518,0,9.681,229.42,50.5
05/01/2005,31.442,11.104,0,51.269,228.44,79.5
06/01/2005,19.74,4.283,0,75.845,227.8,127.8
07/01/2005,20.332,6.124,0,489.897,227.63,218.8
08/01/2005,28.658,6.98,0,736.652,230.96,75.9
09/01/2005,37.625,7.265,0,396.076,234.06,147.7
10/01/2005,54.233,9.584,0,58.296,234.84,46.5
11/01/2005,44.131,10.156,0,0,234.14,0
12/01/2005,48.9,8.85,0,0,233.38,0
01/01/2006,35.23,7.94,0,0,232.65,0
02/01/2006,31.37,10.37,0,0,232.11,0
03/01/2006,30.685,11.411,0,0,231.61,2.5
04/01/2006,47.295,13.211,0,11.58,231.06,28
05/01/2006,45.815,11.453,0,29.31,230.12,75.5
06/01/2006,26.553,5.673,0,81.203,228.85,69.7
07/01/2006,17.639,5.258,0,251.994,228.16,124.7
08/01/2006,21.279,9.311,0,470.446,229.08,151.8
09/01/2006,32.918,6.922,0,628.723,231.76,191.2
10/01/2006,45.008,12.13,0,103.412,234.24,63.1
11/01/2006,56.375,12.25,0,10.195,233.85,0
12/01/2006,41.482,8.867,0,0,233.04,0
01/01/2007,34.353,8.925,0,0,232.35,0
02/01/2007,28.156,10.443,0,0,231.6,0
03/01/2007,35.635,12.673,0,0,231.11,2
04/01/2007,34.88,12.789,0,18.15,230.22,23.8
05/01/2007,35.06,12.517,0,52.37,229.25,114.5
06/01/2007,24.75,6.437,0,342.39,228.3,122.5
07/01/2007,25.03,3.88,0,326.67,229.92,196.7
08/01/2007,32.55,3.91,293.6,1275.69,230.99,465.7
09/01/2007,39.11,6.35,966.09,1162.76,235.05,108.4
