Date,Month,Vévap.,Virrig.,Vdéversé,Ventrant,Camontdeb(m),H pluie (mm),Indice Evapo (mm),Rain2
05/01/1993,5,30.68,0,0,0,229.63,17.9,200,0
06/01/1993,6,39.832,0,0,110.698,228.74,113.5,260,113.5
07/01/1993,7,31.42,0,0,158.795,228.74,142.25,205,142.25
08/01/1993,8,21.155,0,0,410.415,229.21,258.9,138,258.9
09/01/1993,9,28.87,0,0,264.26,231.68,164.4,188,164.4
10/01/1993,10,32.51,0,0.05,17.42,232.86,5,212,0
05/01/1994,5,34.28,0,0,38.18,229.4,58.4,224,58.4
06/01/1994,6,28.734,0,0,53.764,228.73,126.5,187,126.5
07/01/1994,7,20.08,0,0,300.14,228.33,263.6,131,263.6
08/01/1994,8,33.06,0,1201.51,2107.72,230.25,411,216,411
09/01/1994,9,35.54,0,1050.28,1155.44,234.51,246.7,232,246.7
10/01/1994,10,40.03,0,93.33,228.59,234.42,66.1,261,66.1
05/01/1995,5,41.26,0,0,16.25,229.81,41.15,269,0
06/01/1995,6,29.87,0,0,17.72,228.62,75.36,195,75.36
07/01/1995,7,17.42,0,0,115.72,227.78,120.4,114,120.4
08/01/1995,8,22.19,0,0,592.96,228.29,310.96,145,310.96
09/01/1995,9,31.18,0,0,117.71,232.05,113.85,203,113.85
10/01/1995,10,40.2,0,0,25.25,232.26,43.1,262,0
05/01/1996,5,22.658,0.006,0,18.881,228.81,64.3,148,64.3
06/01/1996,6,23.849,0.002,0,129.04,228.33,136.8,156,136.8
07/01/1996,7,22.297,0.008,0,70.535,228.6,112.2,145,112.2
08/01/1996,8,18.839,0.003,0,336.76,228.36,315.8,123,315.8
09/01/1996,9,25.461,0,0,354.935,230.57,149.6,166,149.6
10/01/1996,10,37.844,0.049,0,60.731,232.43,27.4,247,0
05/01/1997,5,31.085,0.177,0,32.28,228.53,83.6,203,83.6
06/01/1997,6,22.054,0.075,0,61.17,227.94,91.7,144,91.7
07/01/1997,7,19.844,0.036,0,58.15,227.81,89.7,129,89.7
08/01/1997,8,16.805,0.1,0,173.72,227.62,121.1,110,121.1
09/01/1997,9,19.2,0.335,0,168.396,228.92,98.1,125,98.1
10/01/1997,10,26.088,0.462,0,44.776,229.85,95.9,170,95.9
05/01/1998,5,22.316,0.957,0,77.43,226.88,44.6,146,0
06/01/1998,6,18.852,0.048,0,282.97,227.07,103.3,123,103.3
07/01/1998,7,22.078,0.059,0,293.35,228.98,112.4,144,112.4
08/01/1998,8,26.02,0.083,0,520.47,230.36,215,170,215
09/01/1998,9,35.015,0.278,0,588.557,232.56,270,228,270
10/01/1998,10,46.089,1.174,0,83.27,234.74,17.2,301,0
05/01/1999,5,35.959,1.17,0,24.73,229.11,153.7,235,153.7
06/01/1999,6,28.226,0.427,0,60.55,227.81,82.7,184,82.7
07/01/1999,7,18.431,0.605,0,378.705,227.01,201.6,120,201.6
